© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Thrombin Signaling	9E-01	3.56E-02	1.342	EGF,FNBP1,GNAS,GNG5,ITPR1,MPRIP,MYL6,PDIA3	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	9E-01	4.17E-02	NaN	APC,BMPR2,IL6ST,JAK1,JAK2	
Neuroprotective Role of THOP1 in Alzheimer's Disease	9E-01	4.17E-02	NaN	APP,ECE1,HLA-A,HLA-E,MME	
eNOS Signaling	8.54E-01	3.77E-02	NaN	GNAS,HSP90AB1,HSP90B1,HSPA5,ITPR1,VEGFA	
Trehalose Degradation II (Trehalase)	8.39E-01	1.43E-01	NaN	HK1	
Thioredoxin Pathway	8.39E-01	1.43E-01	NaN	TXN	
PCP (Planar Cell Polarity) Pathway	8.36E-01	5E-02	NaN	JUNB,JUND,PFN1	
Inhibition of ARE-Mediated mRNA Degradation Pathway	8.36E-01	3.73E-02	NaN	PSMA3,PSMA7,PSMB3,PSMB6,PSME1,TNFRSF1A	
Cardiac Hypertrophy Signaling (Enhanced)	8.27E-01	2.95E-02	1.604	ADRB2,BMPR2,GNAS,GNG5,IL33,IL6,IL6ST,ITGA6,ITGB1,ITPR1,JAK2,PDIA3,RCAN1,RPS6,TG,TNFRSF1A	
Pulmonary Healing Signaling Pathway	8.18E-01	3.52E-02	2.646	BMPR2,EGF,HBEGF,NFKBIA,TNFRSF1A,VEGFA,WWTR1	
HOTAIR Regulatory Pathway	8.18E-01	3.68E-02	-1.342	ATXN1,CDKN1A,H3-3A/H3-3B,ICAM1,IRF1,NFKBIA	
Superoxide Radicals Degradation	7.88E-01	1.25E-01	NaN	CAT	
HGF Signaling	7.77E-01	3.79E-02	0.000	CDKN1A,IL6,ITGA6,ITGB1,PTPN11	
CXCR4 Signaling	7.67E-01	3.55E-02	0.000	EGR1,FNBP1,GNAS,GNG5,ITPR1,MYL6	
Inhibition of Angiogenesis by TSP1	7.64E-01	5.88E-02	NaN	CD47,VEGFA	
PXR/RXR Activation	7.62E-01	4.62E-02	NaN	IL6,NR3C1,SCD	
Induction of Apoptosis by HIV1	7.62E-01	4.62E-02	NaN	NFKBIA,SLC25A5,TNFRSF1A	
Apelin Cardiomyocyte Signaling Pathway	7.57E-01	4.04E-02	0.000	CAT,ITPR1,MYL6,PDIA3	
Glioblastoma Multiforme Signaling	7.52E-01	3.51E-02	0.816	APC,CDKN1A,EGF,FNBP1,ITPR1,PDIA3	
CCR3 Signaling in Eosinophils	7.5E-01	3.7E-02	NaN	GNAS,GNG5,ITPR1,MPRIP,PLA2G1B	
IL-9 Signaling	7.45E-01	5.71E-02	NaN	JAK1,SOCS2	
Pyrimidine Ribonucleotides Interconversion	7.45E-01	5.71E-02	NaN	ENTPD1,NME2	
IL-12 Signaling and Production in Macrophages	7.4E-01	3.68E-02	NaN	CLU,IRF1,LYZ,MAF,NFKBIA	
CD40 Signaling	7.35E-01	4.48E-02	NaN	ICAM1,NFKBIA,PTGS1	
Phospholipases	7.35E-01	4.48E-02	NaN	LPL,PDIA3,PLA2G1B	
Cell Cycle: G1/S Checkpoint Regulation	7.24E-01	4.41E-02	NaN	CDKN1A,RPL11,RPL5	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	7.21E-01	3.05E-02	NaN	APC,ICAM1,IL33,IL6,IL6ST,JAK2,NFKBIA,PDIA3,TNFRSF1A,VEGFA	
Role of JAK1 and JAK3 in γc Cytokine Signaling	7.1E-01	4.35E-02	NaN	JAK1,JAK2,PTPN11	
TWEAK Signaling	7.08E-01	5.41E-02	NaN	NFKBIA,TNFRSF12A	
Glutathione-mediated Detoxification	7.08E-01	5.41E-02	NaN	Gsta4,GSTP1	
MSP-RON Signaling In Cancer Cells Pathway	7.06E-01	3.57E-02	-0.447	FLNA,ITGA6,ITGB1,NFKBIA,VEGFA	
LPS/IL-1 Mediated Inhibition of RXR Function	6.99E-01	3.15E-02	NaN	ABCA1,ACSL4,CAT,FABP5,GSTP1,HS2ST1,IL33,TNFRSF1A	
Prostanoid Biosynthesis	6.99E-01	1E-01	NaN	PTGS1	
Ketolysis	6.99E-01	1E-01	NaN	ACAA2	
Glycine Betaine Degradation	6.99E-01	1E-01	NaN	SRR	
ERK/MAPK Signaling	6.97E-01	3.24E-02	-0.816	H3-3A/H3-3B,ITGA6,ITGB1,PLA2G1B,PPP1CA,PPP1R10,TLN1	
GM-CSF Signaling	6.97E-01	4.29E-02	NaN	JAK2,PTPN11,RACK1	
Pyrimidine Ribonucleotides De Novo Biosynthesis	6.9E-01	5.26E-02	NaN	ENTPD1,NME2	
Cardiac β-adrenergic Signaling	6.9E-01	3.35E-02	NaN	AKAP1,AKAP11,GNAS,GNG5,PPP1CA,PPP1R10	
Xenobiotic Metabolism General Signaling Pathway	6.8E-01	3.5E-02	0.447	FTL,GCLC,GSTP1,MAF,NFE2L2	
Telomerase Signaling	6.76E-01	3.74E-02	NaN	CDKN1A,EGF,HSP90AB1,HSP90B1	
Ephrin B Signaling	6.74E-01	4.17E-02	NaN	ABI1,GNAS,GNG5	
tRNA Charging	6.74E-01	5.13E-02	NaN	LARS1,LARS2	
Inhibition of Matrix Metalloproteases	6.74E-01	5.13E-02	NaN	ADAM10,TIMP3	
Senescence Pathway	6.7E-01	3.02E-02	0.378	ANAPC11,ANAPC13,ATF3,BMPR2,CAT,CDKN1A,IL6,PPP1CA,SQSTM1	
Paxillin Signaling	6.66E-01	3.7E-02	NaN	ITGA6,ITGB1,TLN1,VCL	
Ketogenesis	6.62E-01	9.09E-02	NaN	ACAA2	
GDP-glucose Biosynthesis	6.62E-01	9.09E-02	NaN	HK1	
Role of NFAT in Cardiac Hypertrophy	6.58E-01	3.15E-02	0.378	GNAS,GNG5,IL6,IL6ST,ITPR1,PDIA3,RCAN1	
Mechanisms of Viral Exit from Host Cells	6.4E-01	4.88E-02	NaN	CHMP2A,VPS28	
Kinetochore Metaphase Signaling Pathway	6.38E-01	3.6E-02	1.000	ANAPC11,ANAPC13,PPP1CA,PPP1R10	
Leptin Signaling in Obesity	6.29E-01	3.95E-02	NaN	JAK2,PDIA3,PTPN11	
Glucose and Glucose-1-phosphate Degradation	6.29E-01	8.33E-02	NaN	HK1	
Macropinocytosis Signaling	6.29E-01	3.95E-02	NaN	ABI1,EGF,ITGB1	
NAD Signaling Pathway	6.18E-01	3.31E-02	1.000	EGF,LDHB,POLR2E,TNKS,VEGFA	
Antiproliferative Role of Somatostatin Receptor 2	6.18E-01	3.9E-02	NaN	CDKN1A,GNG5,PTPN11	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	6.18E-01	3.9E-02	NaN	IL6,NFKBIA,PLA2G1B	
Xenobiotic Metabolism CAR Signaling Pathway	6.14E-01	3.16E-02	0.000	GSTP1,HS2ST1,HSP90AB1,HSP90B1,RACK1,SCAND1	
VDR/RXR Activation	6.07E-01	3.85E-02	NaN	CDKN1A,NCOA2,S100G	
NF-κB Activation by Viruses	6.07E-01	3.85E-02	NaN	ITGA6,ITGB1,NFKBIA	
Type II Diabetes Mellitus Signaling	6.04E-01	3.27E-02	NaN	ACSL4,ITPR1,NFKBIA,SOCS2,TNFRSF1A	
Endothelin-1 Signaling	6.02E-01	3.12E-02	0.447	ECE1,GNAS,ITPR1,PDIA3,PLA2G1B,PTGS1	
γ-glutamyl Cycle	5.99E-01	7.69E-02	NaN	GCLC	
UDP-N-acetyl-D-galactosamine Biosynthesis II	5.99E-01	7.69E-02	NaN	HK1	
IL-13 Signaling Pathway	5.97E-01	3.45E-02	2.000	HBEGF,IL33,JAK1,JAK2	
Amyotrophic Lateral Sclerosis Signaling	5.97E-01	3.45E-02	2.000	CAT,GPX1,RNF19A,VEGFA	
Regulation of the Epithelial-Mesenchymal Transition Pathway	5.83E-01	3.08E-02	NaN	APC,EGF,EGR1,JAK1,JAK2,PTPN11	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	5.8E-01	3.39E-02	0.000	GNAS,GNG5,ITPR1,PDIA3	
Mineralocorticoid Biosynthesis	5.72E-01	7.14E-02	NaN	Gsta4	
MSP-RON Signaling In Macrophages Pathway	5.72E-01	3.36E-02	-2.000	HLA-DQA1,HLA-DQB1,HLA-DRB5,JAK2	
Oxytocin In Brain Signaling Pathway	5.7E-01	3.05E-02	-0.816	GNG5,IL6,ITPR1,PLA2G1B,PTGS1,PTPN1	
IL-23 Signaling Pathway	5.69E-01	4.35E-02	NaN	JAK2,NFKBIA	
Gap Junction Signaling	5.64E-01	3.03E-02	NaN	EGF,GNAS,ITPR1,PDIA3,TJP1,TJP2	
Nitric Oxide Signaling in the Cardiovascular System	5.64E-01	3.33E-02	2.000	HSP90AB1,HSP90B1,ITPR1,VEGFA	
p38 MAPK Signaling	5.64E-01	3.33E-02	0.000	H3-3A/H3-3B,IL33,PLA2G1B,TNFRSF1A	
Natural Killer Cell Signaling	5.59E-01	3.02E-02	-0.816	HLA-A,HLA-E,HSPA5,ITGB1,JAK2,PTPN11	
Ephrin A Signaling	5.56E-01	4.26E-02	NaN	ADAM10,PTPN11	
Fatty Acid Activation	5.47E-01	6.67E-02	NaN	ACSL4	
Glucocorticoid Biosynthesis	5.47E-01	6.67E-02	NaN	Gsta4	
nNOS Signaling in Skeletal Muscle Cells	5.44E-01	4.17E-02	NaN	ITPR1,SNTB2	
Apelin Muscle Signaling Pathway	5.44E-01	4.17E-02	NaN	GNAS,GNG5	
PFKFB4 Signaling Pathway	5.44E-01	4.17E-02	NaN	GNAS,HK1	
Pulmonary Fibrosis Idiopathic Signaling Pathway	5.32E-01	2.76E-02	2.333	ADAM10,BMPR2,COL12A1,EGR1,IL6,IL6ST,ITGB1,JAK2,WWTR1	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	5.3E-01	3.49E-02	NaN	IL33,IL6,JAK1	
FXR/RXR Activation	5.2E-01	3.17E-02	NaN	CLU,IL33,ITIH4,LPL	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	5.2E-01	4E-02	NaN	CDKN1A,RPRM	
GP6 Signaling Pathway	5.13E-01	3.15E-02	1.000	ADAM10,COL12A1,ITPR1,TLN1	
HMGB1 Signaling	5.11E-01	2.99E-02	2.000	FNBP1,ICAM1,IL33,IL6,TNFRSF1A	
G Beta Gamma Signaling	4.99E-01	3.1E-02	NaN	GNAS,GNG5,HBEGF,ITPR1	
TNFR1 Signaling	4.96E-01	3.85E-02	NaN	NFKBIA,TNFRSF1A	
Gαq Signaling	4.93E-01	2.94E-02	0.000	FNBP1,GNAS,GNG5,ITPR1,NFKBIA	
Synaptic Long Term Potentiation	4.85E-01	3.05E-02	1.000	ITPR1,PDIA3,PPP1CA,PPP1R10	
fMLP Signaling in Neutrophils	4.85E-01	3.05E-02	-1.000	GNAS,GNG5,ITPR1,NFKBIA	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	4.8E-01	5.56E-02	NaN	IL6	
Bile Acid Biosynthesis, Neutral Pathway	4.8E-01	5.56E-02	NaN	SCP2	
Axonal Guidance Signaling	4.76E-01	2.55E-02	NaN	ADAM10,EGF,EIF3F,EIF3H,GNAS,GNG5,ITGA6,ITGB1,MYL6,PDIA3,PFN1,PTPN11,VEGFA	
Role of Cytokines in Mediating Communication between Immune Cells	4.75E-01	3.7E-02	NaN	IL33,IL6	
Transcriptional Regulatory Network in Embryonic Stem Cells	4.75E-01	3.7E-02	NaN	H3-3A/H3-3B,SKIL	
Actin Nucleation by ARP-WASP Complex	4.72E-01	3.23E-02	NaN	FNBP1,ITGA6,ITGB1	
Mitochondrial L-carnitine Shuttle Pathway	4.62E-01	5.26E-02	NaN	ACSL4	
Erythropoietin Signaling Pathway	4.53E-01	2.82E-02	-0.447	IL33,IL6,ITPR1,JAK2,NFKBIA	
Cardiac Hypertrophy Signaling	4.51E-01	2.68E-02	0.378	ADRB2,FNBP1,GNAS,GNG5,IL6,MYL6,PDIA3	
IL-1 Signaling	4.5E-01	3.12E-02	NaN	GNAS,GNG5,NFKBIA	
Death Receptor Signaling	4.5E-01	3.12E-02	NaN	NFKBIA,TNFRSF1A,TNKS	
CD27 Signaling in Lymphocytes	4.45E-01	3.51E-02	NaN	NFKBIA,SIVA1	
White Adipose Tissue Browning Pathway	4.41E-01	2.9E-02	NaN	GNAS,ITPR1,LDHB,VEGFA	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	4.28E-01	2.68E-02	NaN	APC,BMPR2,IL33,IL6,NFKBIA,TNFRSF1A	
VEGF Signaling	4.28E-01	3.03E-02	NaN	PTPN11,VCL,VEGFA	
Androgen Biosynthesis	4.27E-01	4.76E-02	NaN	Gsta4	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	4.27E-01	2.75E-02	1.000	DUSP16,PPP1CA,PPP1R10,PTPN1,PTPN11	
Valine Degradation I	4.27E-01	4.76E-02	NaN	ECHS1	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	4.27E-01	2.75E-02	1.000	DUSP16,PPP1CA,PPP1R10,PTPN1,PTPN11	
Neurovascular Coupling Signaling Pathway	4.24E-01	2.67E-02	0.816	APP,ENTPD1,ITPR1,MPRIP,PLA2G1B,PTGS1	
Circadian Rhythm Signaling	4.18E-01	2.6E-02	NaN	GNAS,GNG5,H3-3A/H3-3B,ITPR1,NR3C1,PDIA3,RACK1	
Hereditary Breast Cancer Signaling	4.18E-01	2.82E-02	NaN	CDKN1A,POLR2E,RPS27A,UBC	
Dopamine-DARPP32 Feedback in cAMP Signaling	4.18E-01	2.72E-02	0.447	GNAS,ITPR1,PDIA3,PPP1CA,PPP1R10	
Retinoic acid Mediated Apoptosis Signaling	4.17E-01	3.33E-02	NaN	IRF1,TNKS	
IL-2 Signaling	4.09E-01	3.28E-02	NaN	JAK1,PTPN11	
Sumoylation Pathway	4.01E-01	2.91E-02	NaN	FNBP1,NFKBIA,NR3C1	
NER (Nucleotide Excision Repair, Enhanced Pathway)	4.01E-01	2.91E-02	NaN	H3-3A/H3-3B,NEDD8,POLR2E	
Semaphorin Signaling in Neurons	4E-01	3.23E-02	NaN	FNBP1,ITGB1	
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	3.97E-01	4.35E-02	NaN	FDPS	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	3.97E-01	4.35E-02	NaN	LCN2	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	3.97E-01	4.35E-02	NaN	NME2	
Apelin Cardiac Fibroblast Signaling Pathway	3.97E-01	4.35E-02	NaN	IL6	
Apoptosis Signaling	3.95E-01	2.88E-02	NaN	MCL1,NFKBIA,TNFRSF1A	
Thrombopoietin Signaling	3.91E-01	3.17E-02	NaN	JAK2,PTPN11	
Endocannabinoid Cancer Inhibition Pathway	3.9E-01	2.72E-02	0.000	ATF3,CDKN1A,NUPR1,VEGFA	
Hepatic Cholestasis	3.84E-01	2.62E-02	NaN	IL33,IL6,NFKBIA,TJP2,TNFRSF1A	
IL-22 Signaling	3.82E-01	4.17E-02	NaN	JAK1	
Tumoricidal Function of Hepatic Natural Killer Cells	3.82E-01	4.17E-02	NaN	ICAM1	
GNRH Signaling	3.8E-01	2.6E-02	0.447	EGR1,GNAS,GNG5,HBEGF,ITPR1	
Activation of IRF by Cytosolic Pattern Recognition Receptors	3.76E-01	3.08E-02	NaN	IL6,NFKBIA	
PTEN Signaling	3.75E-01	2.67E-02	NaN	BMPR2,CDKN1A,ITGA6,ITGB1	
3-phosphoinositide Degradation	3.71E-01	2.58E-02	1.000	DUSP16,PPP1CA,PPP1R10,PTPN1,PTPN11	
α-Adrenergic Signaling	3.7E-01	2.78E-02	NaN	GNAS,GNG5,ITPR1	
Corticotropin Releasing Hormone Signaling	3.7E-01	2.65E-02	NaN	GNAS,ITPR1,JUND,VEGFA	
CDP-diacylglycerol Biosynthesis I	3.7E-01	4E-02	NaN	ABHD5	
Semaphorin Neuronal Repulsive Signaling Pathway	3.7E-01	2.65E-02	-1.000	ITGA6,ITGB1,MPRIP,MYL6	
Factors Promoting Cardiogenesis in Vertebrates	3.6E-01	2.61E-02	0.000	APC,BMPR2,MYH7,PDIA3	
Estrogen-mediated S-phase Entry	3.57E-01	3.85E-02	NaN	CDKN1A	
D-myo-inositol-5-phosphate Metabolism	3.54E-01	2.53E-02	1.000	DUSP16,PPP1CA,PPP1R10,PTPN1,PTPN11	
Eicosanoid Signaling	3.53E-01	2.94E-02	NaN	PLA2G1B,PTGS1	
Relaxin Signaling	3.5E-01	2.58E-02	-1.000	GNAS,GNG5,NFKBIA,VEGFA	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	3.45E-01	3.7E-02	NaN	ABHD5	
Glycolysis I	3.45E-01	3.7E-02	NaN	GAPDH	
Gluconeogenesis I	3.45E-01	3.7E-02	NaN	GAPDH	
Pregnenolone Biosynthesis	3.45E-01	3.7E-02	NaN	FDX1	
Ovarian Cancer Signaling	3.36E-01	2.53E-02	NaN	APC,EGF,PTGS1,VEGFA	
Growth Hormone Signaling	3.32E-01	2.82E-02	NaN	JAK2,SOCS2	
RAR Activation	3.29E-01	2.45E-02	NaN	JAK2,PNRC1,RPL7A,SCAND1,VEGFA	
Bladder Cancer Signaling	3.25E-01	2.59E-02	NaN	CDKN1A,EGF,VEGFA	
Glioma Invasiveness Signaling	3.18E-01	2.74E-02	NaN	FNBP1,TIMP3	
Airway Pathology in Chronic Obstructive Pulmonary Disease	3.15E-01	2.54E-02	NaN	IL33,IL6,LCN2	
PAK Signaling	3.15E-01	2.54E-02	NaN	ITGA6,ITGB1,MYL6	
3-phosphoinositide Biosynthesis	3.13E-01	2.4E-02	1.000	DUSP16,PPP1CA,PPP1R10,PTPN1,PTPN11	
Cholecystokinin/Gastrin-mediated Signaling	3.1E-01	2.52E-02	NaN	FNBP1,IL33,ITPR1	
Human Embryonic Stem Cell Pluripotency	3.02E-01	2.41E-02	NaN	APC,BMPR2,GNAS,GNG5	
Angiopoietin Signaling	2.93E-01	2.6E-02	NaN	NFKBIA,PTPN11	
TNFR2 Signaling	2.92E-01	3.12E-02	NaN	NFKBIA	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	2.87E-01	2.56E-02	NaN	APC,NCOA2	
IL-7 Signaling Pathway	2.87E-01	2.56E-02	NaN	JAK1,MCL1	
Airway Inflammation in Asthma	2.83E-01	3.03E-02	NaN	IL33	
Gαs Signaling	2.82E-01	2.4E-02	NaN	ADRB2,GNAS,GNG5	
IL-3 Signaling	2.81E-01	2.53E-02	NaN	JAK1,JAK2	
Dopamine Receptor Signaling	2.81E-01	2.53E-02	NaN	PPP1CA,PPP1R10	
Calcium Signaling	2.78E-01	2.29E-02	NaN	ITPR1,MYH7,MYH9,MYL6,RCAN1	
4-1BB Signaling in T Lymphocytes	2.74E-01	2.94E-02	NaN	NFKBIA	
Ethanol Degradation II	2.74E-01	2.94E-02	NaN	ACSS1	
WNT/β-catenin Signaling	2.74E-01	2.31E-02	NaN	APC,BMPR2,RPS27A,UBC	
Nucleotide Excision Repair Pathway	2.66E-01	2.86E-02	NaN	POLR2E	
TR/RXR Activation	2.55E-01	2.38E-02	NaN	HP,NCOA2	
VEGF Family Ligand-Receptor Interactions	2.55E-01	2.38E-02	NaN	PLA2G1B,VEGFA	
p70S6K Signaling	2.53E-01	2.27E-02	NaN	JAK1,PDIA3,RPS6	
FGF Signaling	2.46E-01	2.33E-02	NaN	ITPR1,PTPN11	
PDGF Signaling	2.46E-01	2.33E-02	NaN	JAK1,JAK2	
Docosahexaenoic Acid (DHA) Signaling	2.43E-01	2.63E-02	NaN	APP	
Adipogenesis pathway	2.4E-01	2.22E-02	NaN	BMPR2,LPL,TNFRSF1A	
SNARE Signaling Pathway	2.37E-01	2.21E-02	NaN	MYH7,MYH9,MYL6	
DNA Methylation and Transcriptional Repression Signaling	2.23E-01	2.44E-02	NaN	H3-3A/H3-3B	
April Mediated Signaling	2.16E-01	2.38E-02	NaN	NFKBIA	
B Cell Activating Factor Signaling	2.1E-01	2.33E-02	NaN	NFKBIA	
Estrogen Biosynthesis	1.98E-01	2.22E-02	NaN	HSD17B10	
Coronavirus Replication Pathway	1.98E-01	2.22E-02	NaN	COPE	
CSDE1 Signaling Pathway	-0E00	1.79E-02	NaN	RPL9	
Pyroptosis Signaling Pathway	-0E00	1.08E-02	NaN	TNFRSF1A	
Fc Epsilon RI Signaling	-0E00	1.69E-02	NaN	PLA2G1B,PTPN11	
Synaptic Long Term Depression	-0E00	2.05E-02	0.000	GNAS,ITPR1,PDIA3,PLA2G1B	
p53 Signaling	-0E00	2.04E-02	NaN	CDKN1A,RPRM	
Ceramide Signaling	-0E00	1.11E-02	NaN	TNFRSF1A	
Role of BRCA1 in DNA Damage Response	-0E00	1.25E-02	NaN	CDKN1A	
14-3-3-mediated Signaling	-0E00	1.57E-02	NaN	PDIA3,TNFRSF1A	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	-0E00	2.13E-02	NaN	EZR,TLN1	
Role of RIG1-like Receptors in Antiviral Innate Immunity	-0E00	2.17E-02	NaN	NFKBIA	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0E00	1.28E-02	NaN	IL33,IL6	
Role of NFAT in Regulation of the Immune Response	-0E00	1.53E-02	0.816	GNAS,GNG5,HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,ITPR1,NFKBIA,RCAN1	
FcγRIIB Signaling in B Lymphocytes	-0E00	1.18E-02	NaN	ITPR1	
LPS-stimulated MAPK Signaling	-0E00	1.18E-02	NaN	NFKBIA	
CCR5 Signaling in Macrophages	-0E00	6.01E-03	NaN	GNAS,GNG5,ITPR1	
Calcium-induced T Lymphocyte Apoptosis	-0E00	1.09E-02	2.236	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,ITPR1	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	4.71E-03	NaN	HLA-A,HLA-E	
Lymphotoxin β Receptor Signaling	-0E00	1.82E-02	NaN	NFKBIA	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	8.37E-03	NaN	HLA-A,HLA-E,JAK2,PTPN11	
T Helper Cell Differentiation	-0E00	1.49E-02	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,IL6,IL6ST,TNFRSF1A	
CD28 Signaling in T Helper Cells	-0E00	1.55E-02	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,ITPR1,MALT1,NFKBIA,PTPN11	
IL-15 Signaling	-0E00	3.79E-03	NaN	JAK1,JAK2	
Dendritic Cell Maturation	-0E00	2.03E-02	3.464	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,ICAM1,IL33,IL6,JAK2,NFKBIA,PDIA3,TNFRSF1A	
Reelin Signaling in Neurons	-0E00	2.16E-02	NaN	APP,ITGB1,NECTIN3	
Melatonin Signaling	-0E00	1.39E-02	NaN	PDIA3	
Neuropathic Pain Signaling In Dorsal Horn Neurons	-0E00	1.98E-02	NaN	ITPR1,PDIA3	
Agrin Interactions at Neuromuscular Junction	-0E00	1.43E-02	NaN	ITGB1	
Renin-Angiotensin Signaling	-0E00	1.64E-02	NaN	ITPR1,JAK2	
ICOS-ICOSL Signaling in T Helper Cells	-0E00	1.18E-02	2.000	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,ITPR1,NFKBIA	
Lipid Antigen Presentation by CD1	-0E00	2.4E-03	NaN	PDIA3	
Maturity Onset Diabetes of Young (MODY) Signaling	-0E00	1.27E-02	NaN	GAPDH	
Role of CHK Proteins in Cell Cycle Checkpoint Control	-0E00	1.75E-02	NaN	CDKN1A	
FLT3 Signaling in Hematopoietic Progenitor Cells	-0E00	1.22E-02	NaN	PTPN11	
Melanocyte Development and Pigmentation Signaling	-0E00	2.04E-02	NaN	GNAS,PTPN11	
ATM Signaling	-0E00	2.02E-02	NaN	CDKN1A,NFKBIA	
CREB Signaling in Neurons	-0E00	1.49E-02	1.890	ADRB2,BMPR2,EGF,GNAS,GNG5,ITPR1,PDIA3,POLR2E,VEGFA	
Melanoma Signaling	-0E00	2E-02	NaN	CDKN1A	
Type I Diabetes Mellitus Signaling	-0E00	2.16E-02	2.449	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,IRF1,JAK1,JAK2,NFKBIA,SOCS2,TNFRSF1A	
Small Cell Lung Cancer Signaling	-0E00	1.04E-02	NaN	NFKBIA	
Endometrial Cancer Signaling	-0E00	1.67E-02	NaN	CTNNA1	
Basal Cell Carcinoma Signaling	-0E00	1.39E-02	NaN	APC	
Allograft Rejection Signaling	-0E00	1.03E-02	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E	
Glioma Signaling	-0E00	1.61E-02	NaN	CDKN1A,EGF	
Autoimmune Thyroid Disease Signaling	-0E00	1.32E-02	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,TG	
Graft-versus-Host Disease Signaling	-0E00	1.57E-02	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,IL33,IL6	
Chronic Myeloid Leukemia Signaling	-0E00	1.87E-02	NaN	CDKN1A,PTPN11	
Non-Small Cell Lung Cancer Signaling	-0E00	2.13E-02	NaN	EGF,ITPR1	
Gα12/13 Signaling	-0E00	1.5E-02	NaN	MYL6,NFKBIA	
Communication between Innate and Adaptive Immune Cells	-0E00	5.38E-03	NaN	HLA-A,HLA-DRB5,HLA-E,IL33,IL6	
Sphingosine-1-phosphate Signaling	-0E00	1.67E-02	NaN	FNBP1,PDIA3	
Systemic Lupus Erythematosus Signaling	-0E00	8.04E-03	NaN	HLA-A,HLA-E,HNRNPA2B1,IL33,IL6	
CDC42 Signaling	-0E00	1.91E-02	-0.447	APC,HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,IQGAP1,ITGA6,ITGB1,MPRIP,MYL6	
FAK Signaling	-0E00	8.65E-03	2.333	ADRB2,APC,BMPR2,EGF,IL33,IL6ST,ITGA6,ITGB1,SOCS2	
AMPK Signaling	-0E00	1.64E-02	NaN	ADRB2,CDKN1A,GNAS,GNG5	
RAC Signaling	-0E00	2.17E-02	NaN	IQGAP1,ITGA6,ITGB1	
Phospholipase C Signaling	-0E00	1.33E-02	-1.633	FNBP1,GNAS,GNG5,ITGA6,ITGB1,ITPR1,MPRIP,MYL6,PLA2G1B	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	1.22E-02	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,IL33,IL6	
Estrogen-Dependent Breast Cancer Signaling	-0E00	1.23E-02	NaN	HSD17B10	
Breast Cancer Regulation by Stathmin1	-0E00	1.35E-02	0.707	ADRB2,EGF,GNG5,PPP1CA,PPP1R10,SIVA1,STMN1,VEGFA	
RANK Signaling in Osteoclasts	-0E00	1.1E-02	NaN	NFKBIA	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	4.34E-03	NaN	MALT1,NFKBIA	
NUR77 Signaling in T Lymphocytes	-0E00	9.77E-03	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E	
PKCθ Signaling in T Lymphocytes	-0E00	1.25E-02	2.449	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,ITPR1,MALT1,NFKBIA	
Role of MAPK Signaling in the Pathogenesis of Influenza	-0E00	1.22E-02	NaN	PLA2G1B	
