© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Chronic Myeloid Leukemia Signaling	6.07E-01	1.87E-02	NaN	HDAC7,RAP1A	
TNFR2 Signaling	6.04E-01	3.12E-02	NaN	NFKBIA	
Paxillin Signaling	6.02E-01	1.85E-02	NaN	ITGB1,RAP1A	
Synaptic Long Term Depression	5.99E-01	1.54E-02	NaN	GNAI2,PDIA3,RAP1A	
Regulation of the Epithelial-Mesenchymal Transition Pathway	5.99E-01	1.54E-02	NaN	CLDN3,MET,RAP1A	
Airway Inflammation in Asthma	5.92E-01	3.03E-02	NaN	IFNGR1	
Oxytocin In Brain Signaling Pathway	5.9E-01	1.52E-02	NaN	Calm1 (includes others),GNAI2,RAP1A	
Adrenomedullin signaling pathway	5.82E-01	1.51E-02	NaN	Calm1 (includes others),PDIA3,RAP1A	
4-1BB Signaling in T Lymphocytes	5.8E-01	2.94E-02	NaN	NFKBIA	
Antioxidant Action of Vitamin C	5.8E-01	1.79E-02	NaN	NFKBIA,PDIA3	
Sirtuin Signaling Pathway	5.8E-01	1.37E-02	NaN	ABCA1,SLC25A4,TOMM6,UCP2	
ID1 Signaling Pathway	5.78E-01	1.5E-02	NaN	BHLHE40,BMPR2,RAP1A	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	5.73E-01	1.77E-02	NaN	NFKBIA,RAP1A	
Pyrimidine Ribonucleotides Interconversion	5.7E-01	2.86E-02	NaN	DDX3X	
CDK5 Signaling	5.69E-01	1.75E-02	NaN	ITGB1,RAP1A	
Fatty Acid β-oxidation I	5.59E-01	2.78E-02	NaN	ECI1	
Dendritic Cell Maturation	5.58E-01	1.18E-02	-2.646	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,ICAM1,NFKBIA,PDIA3	
TWEAK Signaling	5.5E-01	2.7E-02	NaN	NFKBIA	
Pyrimidine Ribonucleotides De Novo Biosynthesis	5.5E-01	2.7E-02	NaN	DDX3X	
Complement System	5.5E-01	2.7E-02	NaN	C5	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	5.48E-01	1.69E-02	NaN	GNAI2,PDIA3	
Nitric Oxide Signaling in the Cardiovascular System	5.42E-01	1.68E-02	NaN	Calm1 (includes others),HSP90AA1	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	5.38E-01	1.67E-02	NaN	BMPR2,RAP1A	
Neuroprotective Role of THOP1 in Alzheimer's Disease	5.38E-01	1.67E-02	NaN	ECE1,HLA-A	
NGF Signaling	5.38E-01	1.67E-02	NaN	RAP1A,ROCK1	
Inhibition of Matrix Metalloproteases	5.3E-01	2.56E-02	NaN	TIMP3	
CREB Signaling in Neurons	5.27E-01	1.16E-02	-1.890	ADGRF5,ADRB2,BMPR2,Calm1 (includes others),GNAI2,PDIA3,RAP1A	
ICOS-ICOSL Signaling in T Helper Cells	5.24E-01	1.18E-02	-2.236	Calm1 (includes others),HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,NFKBIA	
IL-15 Production	5.23E-01	1.63E-02	NaN	IRF1,MET	
ERK/MAPK Signaling	5.19E-01	1.39E-02	NaN	ETS2,ITGB1,RAP1A	
Mechanisms of Viral Exit from Host Cells	5.13E-01	2.44E-02	NaN	SH3GLB1	
NUR77 Signaling in T Lymphocytes	5.13E-01	1.17E-02	NaN	Calm1 (includes others),HDAC7,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1	
14-3-3-mediated Signaling	5.04E-01	1.57E-02	NaN	PDIA3,RAP1A	
Endocannabinoid Developing Neuron Pathway	5.04E-01	1.57E-02	NaN	GNAI2,RAP1A	
April Mediated Signaling	5.03E-01	2.38E-02	NaN	NFKBIA	
B Cell Activating Factor Signaling	4.95E-01	2.33E-02	NaN	NFKBIA	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	4.92E-01	1.34E-02	NaN	BMPR2,Calm1 (includes others),NFKBIA	
G Protein Signaling Mediated by Tubby	4.87E-01	2.27E-02	NaN	GNAI2	
Role of RIG1-like Receptors in Antiviral Innate Immunity	4.71E-01	2.17E-02	NaN	NFKBIA	
IL-23 Signaling Pathway	4.71E-01	2.17E-02	NaN	NFKBIA	
STAT3 Pathway	4.7E-01	1.48E-02	NaN	BMPR2,RAP1A	
nNOS Signaling in Neurons	4.63E-01	2.13E-02	NaN	Calm1 (includes others)	
nNOS Signaling in Skeletal Muscle Cells	4.56E-01	2.08E-02	NaN	Calm1 (includes others)	
Apelin Muscle Signaling Pathway	4.56E-01	2.08E-02	NaN	GNAI2	
PFKFB4 Signaling Pathway	4.56E-01	2.08E-02	NaN	HK2	
Gαi Signaling	4.5E-01	1.43E-02	NaN	GNAI2,RAP1A	
Melanoma Signaling	4.42E-01	2E-02	NaN	RAP1A	
Hereditary Breast Cancer Signaling	4.41E-01	1.41E-02	NaN	HDAC7,RAP1A	
UVC-Induced MAPK Signaling	4.35E-01	1.96E-02	NaN	RAP1A	
AMPK Signaling	4.31E-01	1.23E-02	NaN	ADRB2,GNAI2,RAB27A	
TNFR1 Signaling	4.29E-01	1.92E-02	NaN	NFKBIA	
Transcriptional Regulatory Network in Embryonic Stem Cells	4.16E-01	1.85E-02	NaN	SKIL	
Endocannabinoid Neuronal Synapse Pathway	4.16E-01	1.34E-02	NaN	GNAI2,PDIA3	
Lymphotoxin β Receptor Signaling	4.1E-01	1.82E-02	NaN	NFKBIA	
Calcium-induced T Lymphocyte Apoptosis	4.08E-01	1.09E-02	-2.236	Calm1 (includes others),HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1	
T Cell Exhaustion Signaling Pathway	4.07E-01	1.06E-02	NaN	BMPR2,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,RAP1A	
LPS/IL-1 Mediated Inhibition of RXR Function	4.03E-01	1.18E-02	NaN	ABCA1,APOE,FABP5	
FAT10 Signaling Pathway	4.03E-01	1.79E-02	NaN	PSMB8	
CD27 Signaling in Lymphocytes	3.98E-01	1.75E-02	NaN	NFKBIA	
CNTF Signaling	3.98E-01	1.75E-02	NaN	RAP1A	
Role of IL-17A in Arthritis	3.98E-01	1.75E-02	NaN	NFKBIA	
Polyamine Regulation in Colon Cancer	3.93E-01	1.72E-02	NaN	SLC3A2	
Nicotine Degradation III	3.93E-01	1.72E-02	NaN	Aox3	
Necroptosis Signaling Pathway	3.88E-01	1.27E-02	NaN	SLC25A4,TOMM6	
T Helper Cell Differentiation	3.87E-01	1.06E-02	NaN	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,IFNGR1	
Ovarian Cancer Signaling	3.85E-01	1.27E-02	NaN	HDAC7,RAP1A	
Phagosome Maturation	3.82E-01	1.26E-02	NaN	DYNLRB2,HLA-A	
Retinoic acid Mediated Apoptosis Signaling	3.81E-01	1.67E-02	NaN	IRF1	
PCP (Planar Cell Polarity) Pathway	3.81E-01	1.67E-02	NaN	ROCK1	
IL-2 Signaling	3.76E-01	1.64E-02	NaN	RAP1A	
OX40 Signaling Pathway	3.73E-01	1.04E-02	NaN	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,NFKBIA	
Thrombopoietin Signaling	3.66E-01	1.59E-02	NaN	RAP1A	
Stearate Biosynthesis I (Animals)	3.66E-01	1.59E-02	NaN	ELOVL1	
Human Embryonic Stem Cell Pluripotency	3.61E-01	1.2E-02	NaN	BMPR2,GNAI2	
PXR/RXR Activation	3.55E-01	1.54E-02	NaN	SCD	
Activation of IRF by Cytosolic Pattern Recognition Receptors	3.55E-01	1.54E-02	NaN	NFKBIA	
ERB2-ERBB3 Signaling	3.55E-01	1.54E-02	NaN	RAP1A	
Mitotic Roles of Polo-Like Kinase	3.5E-01	1.52E-02	NaN	HSP90AA1	
Nicotine Degradation II	3.5E-01	1.52E-02	NaN	Aox3	
WNT/Ca+ pathway	3.5E-01	1.52E-02	NaN	PDIA3	
Glutamate Receptor Signaling	3.5E-01	1.52E-02	NaN	Calm1 (includes others)	
IL-17A Signaling in Airway Cells	3.46E-01	1.49E-02	NaN	NFKBIA	
Phospholipases	3.46E-01	1.49E-02	NaN	PDIA3	
ERBB4 Signaling	3.41E-01	1.47E-02	NaN	RAP1A	
Cell Cycle: G1/S Checkpoint Regulation	3.41E-01	1.47E-02	NaN	HDAC7	
Role of JAK1 and JAK3 in γc Cytokine Signaling	3.36E-01	1.45E-02	NaN	RAP1A	
SPINK1 General Cancer Pathway	3.36E-01	1.45E-02	NaN	RAP1A	
GM-CSF Signaling	3.32E-01	1.43E-02	NaN	RAP1A	
CLEAR Signaling Pathway	3.3E-01	1.05E-02	NaN	BMPR2,PINK1,RAP1A	
Erythropoietin Signaling Pathway	3.29E-01	1.13E-02	NaN	NFKBIA,RAP1A	
IL-10 Signaling	3.22E-01	1.39E-02	NaN	NFKBIA	
ERK5 Signaling	3.14E-01	1.35E-02	NaN	RAP1A	
Leptin Signaling in Obesity	3.06E-01	1.32E-02	NaN	PDIA3	
GDNF Family Ligand-Receptor Interactions	3.06E-01	1.32E-02	NaN	RAP1A	
Antiproliferative Role of Somatostatin Receptor 2	3.02E-01	1.3E-02	NaN	RAP1A	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	3.02E-01	1.3E-02	NaN	NFKBIA	
Toll-like Receptor Signaling	2.98E-01	1.28E-02	NaN	NFKBIA	
Neurotrophin/TRK Signaling	2.98E-01	1.28E-02	NaN	RAP1A	
IL-3 Signaling	2.95E-01	1.27E-02	NaN	RAP1A	
Thyroid Cancer Signaling	2.95E-01	1.27E-02	NaN	RAP1A	
Estrogen-Dependent Breast Cancer Signaling	2.87E-01	1.23E-02	NaN	RAP1A	
FLT3 Signaling in Hematopoietic Progenitor Cells	2.83E-01	1.22E-02	NaN	RAP1A	
Role of MAPK Signaling in the Pathogenesis of Influenza	2.83E-01	1.22E-02	NaN	RAP1A	
JAK/STAT Signaling	2.83E-01	1.22E-02	NaN	RAP1A	
TR/RXR Activation	2.77E-01	1.19E-02	NaN	UCP2	
Cyclins and Cell Cycle Regulation	2.77E-01	1.19E-02	NaN	HDAC7	
VEGF Family Ligand-Receptor Interactions	2.77E-01	1.19E-02	NaN	RAP1A	
FcγRIIB Signaling in B Lymphocytes	2.73E-01	1.18E-02	NaN	RAP1A	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	2.7E-01	1.16E-02	NaN	AREG	
FGF Signaling	2.7E-01	1.16E-02	NaN	MET	
PDGF Signaling	2.7E-01	1.16E-02	NaN	RAP1A	
Xenobiotic Metabolism AHR Signaling Pathway	2.66E-01	1.15E-02	NaN	HSP90AA1	
Ceramide Signaling	2.56E-01	1.11E-02	NaN	RAP1A	
Crosstalk between Dendritic Cells and Natural Killer Cells	2.53E-01	1.1E-02	NaN	HLA-A	
Apelin Adipocyte Signaling Pathway	2.53E-01	1.1E-02	NaN	GNAI2	
Graft-versus-Host Disease Signaling	2.49E-01	8.97E-03	NaN	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1	
Pyroptosis Signaling Pathway	2.47E-01	1.08E-02	NaN	TXNIP	
Autophagy	2.42E-01	9.3E-03	NaN	Calm1 (includes others),SLC3A2	
p53 Signaling	2.33E-01	1.02E-02	NaN	THBS1	
Melanocyte Development and Pigmentation Signaling	2.33E-01	1.02E-02	NaN	RAP1A	
ATM Signaling	2.31E-01	1.01E-02	NaN	NFKBIA	
Neuropathic Pain Signaling In Dorsal Horn Neurons	2.25E-01	9.9E-03	NaN	PDIA3	
Oxidative Phosphorylation	2E-01	9.01E-03	NaN	COX6A2	
NAD Signaling Pathway	-0E00	6.62E-03	NaN	NKX2-1	
IL-13 Signaling Pathway	-0E00	8.62E-03	NaN	ROCK1	
Fc Epsilon RI Signaling	-0E00	8.47E-03	NaN	RAP1A	
Aryl Hydrocarbon Receptor Signaling	-0E00	6.29E-03	NaN	HSP90AA1	
Hepatic Cholestasis	-0E00	5.24E-03	NaN	NFKBIA	
FXR/RXR Activation	-0E00	7.94E-03	NaN	APOE	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0E00	6.41E-03	NaN	C5	
CCR5 Signaling in Macrophages	-0E00	4.01E-03	NaN	Calm1 (includes others),GNAI2	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	2.35E-03	NaN	HLA-A	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	2.09E-03	NaN	HLA-A	
IL-15 Signaling	-0E00	1.89E-03	NaN	RAP1A	
Renin-Angiotensin Signaling	-0E00	8.2E-03	NaN	RAP1A	
Lipid Antigen Presentation by CD1	-0E00	2.4E-03	NaN	PDIA3	
Allograft Rejection Signaling	-0E00	8.26E-03	NaN	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1	
Autoimmune Thyroid Disease Signaling	-0E00	8.81E-03	NaN	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1	
Type II Diabetes Mellitus Signaling	-0E00	6.54E-03	NaN	NFKBIA	
Pancreatic Adenocarcinoma Signaling	-0E00	7.94E-03	NaN	HDAC7	
Communication between Innate and Adaptive Immune Cells	-0E00	1.08E-03	NaN	HLA-A	
Systemic Lupus Erythematosus Signaling	-0E00	4.82E-03	NaN	C5,HLA-A,RAP1A	
FAK Signaling	-0E00	6.72E-03	-1.890	ADGRF5,ADRB2,BMPR2,ETS2,ITGB1,MET,RAP1A	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	8.13E-03	NaN	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1	
Breast Cancer Regulation by Stathmin1	-0E00	5.05E-03	NaN	ADGRF5,ADRB2,RAP1A	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	8.68E-03	-2.000	Calm1 (includes others),MALT1,NFKBIA,RAP1A	
D-myo-inositol-5-phosphate Metabolism	-0E00	5.13E-03	NaN	SSH2	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	5.59E-03	NaN	SSH2	
Superpathway of Inositol Phosphate Compounds	-0E00	4.27E-03	NaN	SSH2	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	5.59E-03	NaN	SSH2	
3-phosphoinositide Degradation	-0E00	5.24E-03	NaN	SSH2	
3-phosphoinositide Biosynthesis	-0E00	4.88E-03	NaN	SSH2	
TEC Kinase Signaling	-0E00	5.18E-03	NaN	FNBP1,GNAI2,ITGB1	
SAPK/JNK Signaling	-0E00	3.98E-03	NaN	HNRNPK,RAP1A	
GABA Receptor Signaling	-0E00	7.52E-03	NaN	GNAI2	
Xenobiotic Metabolism Signaling	-0E00	6.9E-03	NaN	HSP90AA1,RAP1A	
B Cell Receptor Signaling	-0E00	7.92E-03	-2.236	Calm1 (includes others),CFL2,MALT1,NFKBIA,RAP1A	
WNT/β-catenin Signaling	-0E00	5.78E-03	NaN	BMPR2	
Insulin Receptor Signaling	-0E00	7.14E-03	NaN	RAP1A	
NF-κB Signaling	-0E00	7.02E-03	-1.000	BMPR2,MALT1,NFKBIA,RAP1A	
Iron homeostasis signaling pathway	-0E00	7.19E-03	NaN	BMPR2	
Th17 Activation Pathway	-0E00	2.07E-03	NaN	HSP90AA1	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	-0E00	6.92E-03	-2.236	Calm1 (includes others),IFNGR1,MALT1,MCL1,RAP1A	
White Adipose Tissue Browning Pathway	-0E00	7.25E-03	NaN	NDN	
Xenobiotic Metabolism General Signaling Pathway	-0E00	6.99E-03	NaN	RAP1A	
Xenobiotic Metabolism CAR Signaling Pathway	-0E00	5.26E-03	NaN	HSP90AA1	
Xenobiotic Metabolism PXR Signaling Pathway	-0E00	5.18E-03	NaN	HSP90AA1	
Insulin Secretion Signaling Pathway	-0E00	7.35E-03	NaN	PDIA3,RAP1A	
