© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
LPS/IL-1 Mediated Inhibition of RXR Function	1.18E00	3.15E-02	1.000	ABCA1,ACSL4,CAT,FABP5,HS2ST1,IL33,JUN,TNFRSF1A	
IL-17A Signaling in Gastric Cells	1.15E00	7.69E-02	NaN	FOS,JUN	
CNTF Signaling	1.15E00	5.26E-02	NaN	IL6ST,JAK2,PTPN11	
Molecular Mechanisms of Cancer	1.12E00	2.68E-02	NaN	BMPR2,CDKN1A,CTNND1,FOS,GNAI2,GNAS,ITGB1,JAK2,JUN,NFKBIA,PTPN11,RHOB	
TGF-β Signaling	1.1E00	4.17E-02	NaN	BMPR2,FOS,JUN,SKI	
PCP (Planar Cell Polarity) Pathway	1.1E00	5E-02	NaN	JUN,JUNB,JUND	
Trans, trans-farnesyl Diphosphate Biosynthesis	1.09E00	2E-01	NaN	FDPS	
Role of NFAT in Cardiac Hypertrophy	1.09E00	3.15E-02	0.378	GNAI2,GNAS,IL6,IL6ST,ITPR1,PDIA3,RCAN1	
IL-2 Signaling	1.08E00	4.92E-02	NaN	FOS,JUN,PTPN11	
p53 Signaling	1.08E00	4.08E-02	NaN	CDKN1A,JUN,RPRM,SFN	
White Adipose Tissue Browning Pathway	1.08E00	3.62E-02	-1.000	FGFR2,GNAS,ITPR1,LDHB,VEGFA	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.07E00	3.12E-02	NaN	BMPR2,FOS,IL33,IL6,JUN,NFKBIA,TNFRSF1A	
Apelin Cardiomyocyte Signaling Pathway	1.07E00	4.04E-02	1.000	CAT,GNAI2,ITPR1,PDIA3	
Hereditary Breast Cancer Signaling	1.04E00	3.52E-02	NaN	CDKN1A,RPS27A,SFN,Ubb,UBC	
PXR/RXR Activation	1.02E00	4.62E-02	NaN	IL6,NR3C1,SCD	
Activation of IRF by Cytosolic Pattern Recognition Receptors	1.02E00	4.62E-02	NaN	IL6,JUN,NFKBIA	
Induction of Apoptosis by HIV1	1.02E00	4.62E-02	NaN	NFKBIA,SLC25A5,TNFRSF1A	
Pyruvate Fermentation to Lactate	1.01E00	1.67E-01	NaN	LDHB	
Mouse Embryonic Stem Cell Pluripotency	1.01E00	3.85E-02	1.000	BMPR2,IL6ST,JAK2,PTPN11	
IL-17A Signaling in Airway Cells	9.87E-01	4.48E-02	NaN	IL6,JAK2,NFKBIA	
Phospholipases	9.87E-01	4.48E-02	NaN	LPL,PDIA3,PLA2G1B	
Endocannabinoid Cancer Inhibition Pathway	9.87E-01	3.4E-02	0.447	ATF3,CDKN1A,GNAI2,NUPR1,VEGFA	
Hepatic Cholestasis	9.83E-01	3.14E-02	NaN	IL33,IL6,JUN,NFKBIA,TJP2,TNFRSF1A	
Telomerase Signaling	9.75E-01	3.74E-02	NaN	CDKN1A,EGF,HSP90AB1,HSP90B1	
Cell Cycle: G1/S Checkpoint Regulation	9.71E-01	4.41E-02	NaN	CDKN1A,RPL11,RPL5	
Eicosanoid Signaling	9.71E-01	4.41E-02	NaN	PLA2G1B,PTGES,PTGS1	
Paxillin Signaling	9.63E-01	3.7E-02	1.000	ACTG1,ITGB1,TLN1,VCL	
4-1BB Signaling in T Lymphocytes	9.55E-01	5.88E-02	NaN	JUN,NFKBIA	
Thioredoxin Pathway	9.51E-01	1.43E-01	NaN	TXN	
Regulation of the Epithelial-Mesenchymal Transition Pathway	9.51E-01	3.08E-02	NaN	CLDN3,EGF,EGR1,FGFR2,JAK2,PTPN11	
Agrin Interactions at Neuromuscular Junction	9.43E-01	4.29E-02	NaN	ACTG1,ITGB1,JUN	
GM-CSF Signaling	9.43E-01	4.29E-02	NaN	JAK2,PTPN11,RACK1	
Oxytocin In Brain Signaling Pathway	9.36E-01	3.05E-02	0.000	GNAI2,IL6,ITPR1,PLA2G1B,PTGS1,PTPN1	
Growth Hormone Signaling	9.32E-01	4.23E-02	NaN	FOS,JAK2,SOCS2	
Pyrimidine Ribonucleotides Interconversion	9.32E-01	5.71E-02	NaN	ENTPD1,NME2	
Xenobiotic Metabolism Signaling	9.28E-01	2.76E-02	NaN	CAT,GCLC,HS2ST1,HSP90AB1,HSP90B1,IL6,MAF,NFE2L2	
Interferon Signaling	9.14E-01	5.56E-02	NaN	IRF1,JAK2	
CDK5 Signaling	9E-01	3.51E-02	NaN	EGR1,GNAS,ITGB1,PPP1R10	
Prostate Cancer Signaling	9E-01	3.51E-02	NaN	CDKN1A,HSP90AB1,HSP90B1,NFKBIA	
Superoxide Radicals Degradation	8.96E-01	1.25E-01	NaN	CAT	
TWEAK Signaling	8.93E-01	5.41E-02	NaN	NFKBIA,TNFRSF12A	
Glutathione-mediated Detoxification	8.93E-01	5.41E-02	NaN	Gsta4,PTGES	
RAR Activation	8.83E-01	2.94E-02	NaN	FOS,JAK2,JUN,PNRC1,RPL7A,VEGFA	
Amyotrophic Lateral Sclerosis Signaling	8.79E-01	3.45E-02	2.000	CAT,GPX1,RNF19A,VEGFA	
Pyrimidine Ribonucleotides De Novo Biosynthesis	8.73E-01	5.26E-02	NaN	ENTPD1,NME2	
Leptin Signaling in Obesity	8.66E-01	3.95E-02	NaN	JAK2,PDIA3,PTPN11	
GDNF Family Ligand-Receptor Interactions	8.66E-01	3.95E-02	NaN	FOS,ITPR1,JUN	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	8.6E-01	3.39E-02	0.000	GNAI2,GNAS,ITPR1,PDIA3	
HOTAIR Regulatory Pathway	8.51E-01	3.07E-02	-1.000	CDKN1A,H3-3A/H3-3B,ICAM1,IRF1,NFKBIA	
Neuroprotective Role of THOP1 in Alzheimer's Disease	8.42E-01	3.33E-02	NaN	APP,ECE1,HLA-A,HLA-E	
Nitric Oxide Signaling in the Cardiovascular System	8.42E-01	3.33E-02	2.000	HSP90AB1,HSP90B1,ITPR1,VEGFA	
Neurotrophin/TRK Signaling	8.42E-01	3.85E-02	NaN	FOS,JUN,PTPN11	
p38 MAPK Signaling	8.42E-01	3.33E-02	0.000	H3-3A/H3-3B,IL33,PLA2G1B,TNFRSF1A	
IL-3 Signaling	8.3E-01	3.8E-02	NaN	FOS,JAK2,JUN	
Renin-Angiotensin Signaling	8.24E-01	3.28E-02	2.000	FOS,ITPR1,JAK2,JUN	
Cardiac Hypertrophy Signaling	8.18E-01	2.68E-02	1.134	ADRB2,GNAI2,GNAS,IL6,JUN,PDIA3,RHOB	
Chemokine Signaling	8.18E-01	3.75E-02	NaN	FOS,GNAI2,JUN	
RHOA Signaling	8.07E-01	3.23E-02	1.000	ACTG1,DLC1,EZR,MSN	
Ketolysis	8.07E-01	1E-01	NaN	ACAA2	
Glycine Betaine Degradation	8.07E-01	1E-01	NaN	SRR	
ERK/MAPK Signaling	8.01E-01	2.78E-02	-0.816	FOS,H3-3A/H3-3B,ITGB1,PLA2G1B,PPP1R10,TLN1	
Gαq Signaling	7.99E-01	2.94E-02	NaN	GNAI2,GNAS,ITPR1,NFKBIA,RHOB	
T Cell Exhaustion Signaling Pathway	7.96E-01	2.3E-02	1.633	BMPR2,FOS,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,IL6,JAK2,JUN,PTPN11,VEGFA	
Glioblastoma Multiforme Signaling	7.9E-01	2.92E-02	1.342	CDKN1A,EGF,ITPR1,PDIA3,RHOB	
WNT/β-catenin Signaling	7.77E-01	2.89E-02	NaN	BMPR2,JUN,RPS27A,Ubb,UBC	
TR/RXR Activation	7.75E-01	3.57E-02	NaN	HP,NCOA2,UCP2	
VEGF Family Ligand-Receptor Interactions	7.75E-01	3.57E-02	NaN	FOS,PLA2G1B,VEGFA	
BAG2 Signaling Pathway	7.75E-01	3.57E-02	NaN	CDKN1A,HSPA5,HSPA8	
Circadian Rhythm Signaling	7.72E-01	2.6E-02	NaN	GNAI2,GNAS,H3-3A/H3-3B,ITPR1,NR3C1,PDIA3,RACK1	
Ketogenesis	7.7E-01	9.09E-02	NaN	ACAA2	
LPS-stimulated MAPK Signaling	7.64E-01	3.53E-02	NaN	FOS,JUN,NFKBIA	
G Beta Gamma Signaling	7.62E-01	3.1E-02	NaN	GNAI2,GNAS,HBEGF,ITPR1	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	7.54E-01	3.49E-02	NaN	AREG,IL33,IL6	
FGF Signaling	7.54E-01	3.49E-02	NaN	FGFR2,ITPR1,PTPN11	
PDGF Signaling	7.54E-01	3.49E-02	NaN	FOS,JAK2,JUN	
fMLP Signaling in Neutrophils	7.47E-01	3.05E-02	0.000	GNAI2,GNAS,ITPR1,NFKBIA	
Thrombin Signaling	7.47E-01	2.67E-02	1.633	EGF,GNAI2,GNAS,ITPR1,PDIA3,RHOB	
IL-23 Signaling Pathway	7.42E-01	4.35E-02	NaN	JAK2,NFKBIA	
p70S6K Signaling	7.38E-01	3.03E-02	NaN	GNAI2,PDIA3,RPS6,SFN	
Cardiac β-adrenergic Signaling	7.35E-01	2.79E-02	NaN	AKAP1,AKAP11,GNAI2,GNAS,PPP1R10	
P2Y Purigenic Receptor Signaling Pathway	7.3E-01	3.01E-02	1.000	FOS,GNAI2,JUN,PDIA3	
Ceramide Signaling	7.14E-01	3.33E-02	NaN	FOS,JUN,TNFRSF1A	
CCR3 Signaling in Eosinophils	7.14E-01	2.96E-02	NaN	GNAI2,GNAS,ITPR1,PLA2G1B	
Adipogenesis pathway	7.14E-01	2.96E-02	NaN	BMPR2,FGFR2,LPL,TNFRSF1A	
Apelin Muscle Signaling Pathway	7.14E-01	4.17E-02	NaN	GNAI2,GNAS	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	7.12E-01	2.18E-02	2.673	EZR,FOS,GNAI2,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,IL6,ITPR1,JUN,MSN,RHOB	
RANK Signaling in Osteoclasts	7.06E-01	3.3E-02	NaN	FOS,JUN,NFKBIA	
γ-glutamyl Cycle	7.03E-01	7.69E-02	NaN	GCLC	
Dopamine-DARPP32 Feedback in cAMP Signaling	7.01E-01	2.72E-02	-0.447	GNAI2,GNAS,ITPR1,PDIA3,PPP1R10	
Dendritic Cell Maturation	6.99E-01	2.2E-02	3.606	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,ICAM1,IL33,IL6,JAK2,NFKBIA,PDIA3,TNFRSF1A	
Osteoarthritis Pathway	6.82E-01	2.54E-02	0.816	BMPR2,ITGB1,SIK3,TIMP3,TNFRSF1A,VEGFA	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	6.78E-01	3.19E-02	NaN	ACTG1,EZR,TLN1	
Insulin Receptor Signaling	6.78E-01	2.86E-02	1.000	JAK2,PPP1R10,PTPN1,PTPN11	
Mineralocorticoid Biosynthesis	6.76E-01	7.14E-02	NaN	Gsta4	
UVC-Induced MAPK Signaling	6.76E-01	3.92E-02	NaN	FOS,JUN	
Death Receptor Signaling	6.6E-01	3.12E-02	NaN	ACTG1,NFKBIA,TNFRSF1A	
Telomere Extension by Telomerase	6.48E-01	6.67E-02	NaN	HNRNPA2B1	
Fatty Acid Activation	6.48E-01	6.67E-02	NaN	ACSL4	
Glucocorticoid Biosynthesis	6.48E-01	6.67E-02	NaN	Gsta4	
Xenobiotic Metabolism PXR Signaling Pathway	6.46E-01	2.59E-02	-0.447	CAT,HS2ST1,HSP90AB1,HSP90B1,PPP1R10	
UVA-Induced MAPK Signaling	6.42E-01	3.06E-02	NaN	FOS,JUN,PDIA3	
Role of Cytokines in Mediating Communication between Immune Cells	6.38E-01	3.7E-02	NaN	IL33,IL6	
Transcriptional Regulatory Network in Embryonic Stem Cells	6.38E-01	3.7E-02	NaN	H3-3A/H3-3B,SKIL	
Synaptic Long Term Depression	6.35E-01	2.56E-02	0.447	GNAI2,GNAS,ITPR1,PDIA3,PLA2G1B	
ATM Signaling	6.35E-01	3.03E-02	NaN	CDKN1A,JUN,NFKBIA	
T Cell Receptor Signaling	6.27E-01	2.12E-02	1.732	FOS,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,ICAM1,ITGB1,JUN,MALT1,NFKBIA,PTPN11	
Senescence Pathway	6.25E-01	2.35E-02	1.134	ATF3,BMPR2,CAT,CDKN1A,IL6,JUN,SQSTM1	
Type I Diabetes Mellitus Signaling	6.2E-01	2.16E-02	2.236	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,IRF1,JAK2,NFKBIA,SOCS2,TNFRSF1A	
Neuropathic Pain Signaling In Dorsal Horn Neurons	6.18E-01	2.97E-02	NaN	FOS,ITPR1,PDIA3	
CSDE1 Signaling Pathway	6.16E-01	3.57E-02	NaN	FOS,RPL9	
Adrenomedullin signaling pathway	6.13E-01	2.51E-02	1.342	FOS,GNAS,IL33,ITPR1,PDIA3	
PTEN Signaling	6.09E-01	2.67E-02	1.000	BMPR2,CDKN1A,FGFR2,ITGB1	
CD28 Signaling in T Helper Cells	5.93E-01	2.13E-02	1.342	FOS,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,ITPR1,JUN,MALT1,NFKBIA,PTPN11	
MSP-RON Signaling Pathway	5.93E-01	3.45E-02	NaN	ACTG1,JAK2	
Apoptosis Signaling	5.93E-01	2.88E-02	NaN	MCL1,NFKBIA,TNFRSF1A	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	5.8E-01	5.56E-02	NaN	IL6	
Necroptosis Signaling Pathway	5.65E-01	2.55E-02	0.000	PLA2G1B,SLC25A5,TNFRSF1A,UBC	
α-Adrenergic Signaling	5.64E-01	2.78E-02	NaN	GNAI2,GNAS,ITPR1	
Mitochondrial L-carnitine Shuttle Pathway	5.61E-01	5.26E-02	NaN	ACSL4	
DNA damage-induced 14-3-3σ Signaling	5.61E-01	5.26E-02	NaN	SFN	
Semaphorin Signaling in Neurons	5.53E-01	3.23E-02	NaN	ITGB1,RHOB	
Glutaryl-CoA Degradation	5.41E-01	5E-02	NaN	ACAA2	
Role of NFAT in Regulation of the Immune Response	5.39E-01	2.04E-02	1.897	FOS,GNAI2,GNAS,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,ITPR1,JUN,NFKBIA,RCAN1	
Integrin Signaling	5.39E-01	2.35E-02	1.342	ACTG1,ITGB1,RHOB,TLN1,VCL	
Androgen Biosynthesis	5.23E-01	4.76E-02	NaN	Gsta4	
Valine Degradation I	5.23E-01	4.76E-02	NaN	ECHS1	
Mitotic Roles of Polo-Like Kinase	5.16E-01	3.03E-02	NaN	HSP90AB1,HSP90B1	
Human Embryonic Stem Cell Pluripotency	5.16E-01	2.41E-02	NaN	BMPR2,FGFR2,GNAI2,GNAS	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	5.16E-01	3.03E-02	NaN	GNAI2,NFKBIA	
Bladder Cancer Signaling	5.09E-01	2.59E-02	NaN	CDKN1A,EGF,VEGFA	
Insulin Secretion Signaling Pathway	5.07E-01	2.2E-02	0.000	GNAS,ITPR1,JAK2,PDIA3,SEC61B,SPCS1	
Airway Pathology in Chronic Obstructive Pulmonary Disease	4.96E-01	2.54E-02	NaN	IL33,IL6,LCN2	
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	4.91E-01	4.35E-02	NaN	FDPS	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	4.91E-01	4.35E-02	NaN	LCN2	
Role of JAK1 and JAK3 in γc Cytokine Signaling	4.91E-01	2.9E-02	NaN	JAK2,PTPN11	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	4.91E-01	4.35E-02	NaN	NME2	
SPINK1 General Cancer Pathway	4.91E-01	2.9E-02	NaN	IL6,JAK2	
Apelin Cardiac Fibroblast Signaling Pathway	4.91E-01	4.35E-02	NaN	IL6	
Neurovascular Coupling Signaling Pathway	4.84E-01	2.22E-02	0.447	APP,ENTPD1,ITPR1,PLA2G1B,PTGS1	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	4.84E-01	2.5E-02	NaN	BMPR2,IL6ST,JAK2	
Sphingosine-1-phosphate Signaling	4.84E-01	2.5E-02	NaN	GNAI2,PDIA3,RHOB	
Tumoricidal Function of Hepatic Natural Killer Cells	4.76E-01	4.17E-02	NaN	ICAM1	
Ethanol Degradation IV	4.76E-01	4.17E-02	NaN	CAT	
Melatonin Signaling	4.66E-01	2.78E-02	NaN	GNAI2,PDIA3	
Ephrin B Signaling	4.66E-01	2.78E-02	NaN	GNAI2,GNAS	
CDP-diacylglycerol Biosynthesis I	4.61E-01	4E-02	NaN	ABHD5	
Glioma Invasiveness Signaling	4.58E-01	2.74E-02	NaN	RHOB,TIMP3	
Gαs Signaling	4.55E-01	2.4E-02	NaN	ADRB2,GNAI2,GNAS	
Axonal Guidance Signaling	4.52E-01	1.96E-02	NaN	EGF,EIF3F,EIF3H,GNAI2,GNAS,ITGB1,PDIA3,PTPN11,TUBA1C,VEGFA	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	4.47E-01	3.85E-02	NaN	JAK2	
Estrogen-mediated S-phase Entry	4.47E-01	3.85E-02	NaN	CDKN1A	
GP6 Signaling Pathway	4.44E-01	2.36E-02	NaN	COL12A1,ITPR1,TLN1	
cAMP-mediated signaling	4.42E-01	2.13E-02	NaN	ADRB2,AKAP1,AKAP11,GNAI2,GNAS	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	4.37E-01	2.2E-02	NaN	DUSP16,PPP1R10,PTPN1,PTPN11	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	4.37E-01	2.2E-02	NaN	DUSP16,PPP1R10,PTPN1,PTPN11	
Macropinocytosis Signaling	4.37E-01	2.63E-02	NaN	EGF,ITGB1	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	4.35E-01	3.7E-02	NaN	ABHD5	
Tryptophan Degradation III (Eukaryotic)	4.35E-01	3.7E-02	NaN	ACAA2	
Pregnenolone Biosynthesis	4.35E-01	3.7E-02	NaN	FDX1	
Angiopoietin Signaling	4.29E-01	2.6E-02	NaN	NFKBIA,PTPN11	
Antiproliferative Role of Somatostatin Receptor 2	4.29E-01	2.6E-02	NaN	CDKN1A,PTPN11	
Synaptic Long Term Potentiation	4.23E-01	2.29E-02	NaN	ITPR1,PDIA3,PPP1R10	
NF-κB Activation by Viruses	4.23E-01	2.56E-02	NaN	ITGB1,NFKBIA	
IL-7 Signaling Pathway	4.23E-01	2.56E-02	NaN	JUN,MCL1	
Thyroid Cancer Signaling	4.16E-01	2.53E-02	NaN	FOS,JUN	
Estrogen-Dependent Breast Cancer Signaling	4.02E-01	2.47E-02	NaN	FOS,JUN	
Xenobiotic Metabolism CAR Signaling Pathway	4.01E-01	2.11E-02	1.000	HS2ST1,HSP90AB1,HSP90B1,RACK1	
SNARE Signaling Pathway	3.97E-01	2.21E-02	NaN	HSPA8,MYH7,MYH9	
RAC Signaling	3.87E-01	2.17E-02	NaN	IQGAP1,ITGB1,JUN	
3-phosphoinositide Degradation	3.85E-01	2.06E-02	NaN	DUSP16,PPP1R10,PTPN1,PTPN11	
Reelin Signaling in Neurons	3.82E-01	2.16E-02	NaN	APP,ITGB1,NECTIN3	
D-myo-inositol-5-phosphate Metabolism	3.7E-01	2.02E-02	NaN	DUSP16,PPP1R10,PTPN1,PTPN11	
Airway Inflammation in Asthma	3.68E-01	3.03E-02	NaN	IL33	
BMP signaling pathway	3.66E-01	2.3E-02	NaN	BMPR2,JUN	
Xenobiotic Metabolism General Signaling Pathway	3.65E-01	2.1E-02	NaN	GCLC,MAF,NFE2L2	
Gustation Pathway	3.52E-01	1.97E-02	0.000	CD36,ITPR1,LPL,LRRC8C	
IL-9 Signaling	3.49E-01	2.86E-02	NaN	SOCS2	
Endocannabinoid Neuronal Synapse Pathway	3.38E-01	2.01E-02	NaN	GNAI2,ITPR1,PDIA3	
PKCθ Signaling in T Lymphocytes	3.34E-01	1.79E-02	3.000	FOS,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,ITPR1,JUN,MALT1,NFKBIA	
3-phosphoinositide Biosynthesis	3.33E-01	1.92E-02	NaN	DUSP16,PPP1R10,PTPN1,PTPN11	
Actin Nucleation by ARP-WASP Complex	3.33E-01	2.15E-02	NaN	ITGB1,RHOB	
NAD Signaling Pathway	3.3E-01	1.99E-02	NaN	EGF,LDHB,VEGFA	
Non-Small Cell Lung Cancer Signaling	3.27E-01	2.13E-02	NaN	EGF,ITPR1	
Docosahexaenoic Acid (DHA) Signaling	3.23E-01	2.63E-02	NaN	APP	
Factors Promoting Cardiogenesis in Vertebrates	3.22E-01	1.96E-02	NaN	BMPR2,MYH7,PDIA3	
Graft-versus-Host Disease Signaling	3.22E-01	1.79E-02	NaN	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,IL33,IL6	
Inhibition of Matrix Metalloproteases	3.15E-01	2.56E-02	NaN	TIMP3	
Melanocyte Development and Pigmentation Signaling	3.08E-01	2.04E-02	NaN	GNAS,PTPN11	
Ovarian Cancer Signaling	3.04E-01	1.9E-02	NaN	EGF,PTGS1,VEGFA	
Calcium Signaling	3.01E-01	1.83E-02	NaN	ITPR1,MYH7,MYH9,RCAN1	
Mechanisms of Viral Exit from Host Cells	3E-01	2.44E-02	NaN	ACTG1	
DNA Methylation and Transcriptional Repression Signaling	3E-01	2.44E-02	NaN	H3-3A/H3-3B	
CDC42 Signaling	3E-01	1.74E-02	1.000	FOS,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,IQGAP1,ITGB1,JUN	
Opioid Signaling Pathway	2.94E-01	1.79E-02	0.447	FOS,GNAI2,GNAS,ITPR1,NFKBIA	
Coronavirus Replication Pathway	2.72E-01	2.22E-02	NaN	TUBA1C	
T Helper Cell Differentiation	2.69E-01	1.7E-02	NaN	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,IL6,IL6ST,TNFRSF1A	
Chronic Myeloid Leukemia Signaling	2.68E-01	1.87E-02	NaN	CDKN1A,PTPN11	
Role of RIG1-like Receptors in Antiviral Innate Immunity	2.66E-01	2.17E-02	NaN	NFKBIA	
Role of IL-17F in Allergic Inflammatory Airway Diseases	2.6E-01	2.13E-02	NaN	IL6	
Ephrin A Signaling	2.6E-01	2.13E-02	NaN	PTPN11	
Dermatan Sulfate Biosynthesis (Late Stages)	2.6E-01	2.13E-02	NaN	HS2ST1	
Retinol Biosynthesis	2.6E-01	2.13E-02	NaN	LPL	
nNOS Signaling in Skeletal Muscle Cells	2.54E-01	2.08E-02	NaN	ITPR1	
PFKFB4 Signaling Pathway	2.54E-01	2.08E-02	NaN	GNAS	
Spliceosomal Cycle	2.48E-01	2.04E-02	NaN	HSPA8	
Superpathway of Inositol Phosphate Compounds	2.47E-01	1.69E-02	NaN	DUSP16,PPP1R10,PTPN1,PTPN11	
Melanoma Signaling	2.43E-01	2E-02	NaN	CDKN1A	
Chondroitin Sulfate Biosynthesis (Late Stages)	2.43E-01	2E-02	NaN	HS2ST1	
Triacylglycerol Biosynthesis	2.37E-01	1.96E-02	NaN	ABHD5	
Amyloid Processing	2.37E-01	1.96E-02	NaN	APP	
Regulation of Actin-based Motility by Rho	2.34E-01	1.72E-02	NaN	ITGB1,RHOB	
Fc Epsilon RI Signaling	2.28E-01	1.69E-02	NaN	PLA2G1B,PTPN11	
Lymphotoxin β Receptor Signaling	2.17E-01	1.82E-02	NaN	NFKBIA	
FAT10 Signaling Pathway	2.13E-01	1.79E-02	NaN	SQSTM1	
Role of CHK Proteins in Cell Cycle Checkpoint Control	2.08E-01	1.75E-02	NaN	CDKN1A	
Role of IL-17A in Arthritis	2.08E-01	1.75E-02	NaN	NFKBIA	
Chondroitin Sulfate Biosynthesis	2.03E-01	1.72E-02	NaN	HS2ST1	
Triacylglycerol Degradation	1.99E-01	1.69E-02	NaN	LPL	
Pyroptosis Signaling Pathway	-0E00	1.08E-02	NaN	TNFRSF1A	
Role of BRCA1 in DNA Damage Response	-0E00	1.25E-02	NaN	CDKN1A	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0E00	1.28E-02	NaN	IL33,IL6	
FcγRIIB Signaling in B Lymphocytes	-0E00	1.18E-02	NaN	ITPR1	
CCR5 Signaling in Macrophages	-0E00	1E-02	1.000	FOS,GNAI2,GNAS,ITPR1,JUN	
Calcium-induced T Lymphocyte Apoptosis	-0E00	1.3E-02	2.449	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,ITPR1	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	4.71E-03	NaN	HLA-A,HLA-E	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	8.37E-03	NaN	HLA-A,HLA-E,JAK2,PTPN11	
IL-15 Signaling	-0E00	1.89E-03	NaN	JAK2	
ICOS-ICOSL Signaling in T Helper Cells	-0E00	1.38E-02	2.236	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,ITPR1,NFKBIA	
Lipid Antigen Presentation by CD1	-0E00	2.4E-03	NaN	PDIA3	
Maturity Onset Diabetes of Young (MODY) Signaling	-0E00	1.27E-02	NaN	UCP2	
FLT3 Signaling in Hematopoietic Progenitor Cells	-0E00	1.22E-02	NaN	PTPN11	
CREB Signaling in Neurons	-0E00	1.49E-02	1.000	ADRB2,BMPR2,EGF,FGFR2,GNAI2,GNAS,ITPR1,PDIA3,VEGFA	
Small Cell Lung Cancer Signaling	-0E00	1.04E-02	NaN	NFKBIA	
Allograft Rejection Signaling	-0E00	1.24E-02	NaN	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E	
Glioma Signaling	-0E00	1.61E-02	NaN	CDKN1A,EGF	
Autoimmune Thyroid Disease Signaling	-0E00	1.54E-02	NaN	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,TG	
Gα12/13 Signaling	-0E00	1.5E-02	NaN	JUN,NFKBIA	
Communication between Innate and Adaptive Immune Cells	-0E00	5.38E-03	NaN	HLA-A,HLA-DRB5,HLA-E,IL33,IL6	
Systemic Lupus Erythematosus Signaling	-0E00	1.13E-02	NaN	FOS,HLA-A,HLA-E,HNRNPA2B1,IL33,IL6,JUN	
FAK Signaling	-0E00	8.65E-03	2.333	ADRB2,BMPR2,EGF,FOS,IL33,IL6ST,ITGB1,JUN,SOCS2	
Retinoic acid Mediated Apoptosis Signaling	-0E00	1.67E-02	NaN	IRF1	
AMPK Signaling	-0E00	1.64E-02	NaN	ADRB2,CDKN1A,GNAI2,GNAS	
PAK Signaling	-0E00	8.47E-03	NaN	ITGB1	
Phospholipase C Signaling	-0E00	7.36E-03	NaN	GNAS,ITGB1,ITPR1,PLA2G1B,RHOB	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	1.42E-02	NaN	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,IL33,IL6	
Breast Cancer Regulation by Stathmin1	-0E00	1.35E-02	1.414	ADRB2,EGF,JUN,PPP1R10,SIVA1,STMN1,TUBA1C,VEGFA	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	8.68E-03	2.000	FOS,JUN,MALT1,NFKBIA	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00	1.28E-02	NaN	NCOA2	
