© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
LPS/IL-1 Mediated Inhibition of RXR Function	9.1E-01	1.18E-02	NaN	ABCA1,CYP2B6,JUN	
Glutathione Redox Reactions I	9E-01	3.57E-02	NaN	PRDX6	
Histidine Degradation VI	9E-01	3.57E-02	NaN	CYP2B6	
fMLP Signaling in Neutrophils	8.86E-01	1.53E-02	NaN	GNA12,RRAS	
Ubiquinol-10 Biosynthesis (Eukaryotic)	8.73E-01	3.33E-02	NaN	CYP2B6	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	8.73E-01	8.3E-03	-2.449	FOS,IL6,JUN,MALT1,MCL1,RRAS	
CCR3 Signaling in Eosinophils	8.63E-01	1.48E-02	NaN	GNA12,RRAS	
RAC Signaling	8.48E-01	1.45E-02	NaN	JUN,RRAS	
Iron homeostasis signaling pathway	8.45E-01	1.44E-02	NaN	FTH1,IL6	
Gαi Signaling	8.39E-01	1.43E-02	NaN	GNA12,RRAS	
TEC Kinase Signaling	8.36E-01	8.64E-03	-2.000	ACTB,ACTG1,FOS,GNA12,RHOB	
4-1BB Signaling in T Lymphocytes	8.21E-01	2.94E-02	NaN	JUN	
Inhibition of Angiogenesis by TSP1	8.21E-01	2.94E-02	NaN	JUN	
Role of JAK2 in Hormone-like Cytokine Signaling	8.21E-01	2.94E-02	NaN	SOCS3	
Endocannabinoid Cancer Inhibition Pathway	8.04E-01	1.36E-02	NaN	ATF3,NUPR1	
Dilated Cardiomyopathy Signaling Pathway	8.01E-01	1.35E-02	NaN	ACTB,ACTG1	
MIF-mediated Glucocorticoid Regulation	7.99E-01	2.78E-02	NaN	CD74	
Semaphorin Neuronal Repulsive Signaling Pathway	7.88E-01	1.32E-02	NaN	MYL12B,RRAS	
Docosahexaenoic Acid (DHA) Signaling	7.77E-01	2.63E-02	NaN	SERPINF1	
Type II Diabetes Mellitus Signaling	7.77E-01	1.31E-02	NaN	CEBPB,SOCS3	
Notch Signaling	7.77E-01	2.63E-02	NaN	HES1	
Inhibition of Matrix Metalloproteases	7.67E-01	2.56E-02	NaN	TIMP3	
Necroptosis Signaling Pathway	7.59E-01	1.27E-02	NaN	GLUL,UBC	
Acetone Degradation I (to Methylglyoxal)	7.57E-01	2.5E-02	NaN	CYP2B6	
Systemic Lupus Erythematosus Signaling	7.47E-01	8.04E-03	NaN	FOS,HLA-A,IL6,JUN,RRAS	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	7.45E-01	8.68E-03	-2.000	FOS,JUN,MALT1,RRAS	
Human Embryonic Stem Cell Pluripotency	7.24E-01	1.2E-02	NaN	GNA12,SMAD7	
G Protein Signaling Mediated by Tubby	7.19E-01	2.27E-02	NaN	GNA12	
Estrogen Biosynthesis	7.1E-01	2.22E-02	NaN	CYP2B6	
Coronavirus Replication Pathway	7.1E-01	2.22E-02	NaN	TUBA1C	
IL-23 Signaling Pathway	7.03E-01	2.17E-02	NaN	SOCS3	
Role of IL-17F in Allergic Inflammatory Airway Diseases	6.95E-01	2.13E-02	NaN	IL6	
Allograft Rejection Signaling	6.93E-01	8.26E-03	NaN	B2M,H2-T22,HLA-A,HLA-DMB	
Apelin Muscle Signaling Pathway	6.86E-01	2.08E-02	NaN	GNA12	
Spliceosomal Cycle	6.78E-01	2.04E-02	NaN	HSPA8	
Melanoma Signaling	6.7E-01	2E-02	NaN	RRAS	
MYC Mediated Apoptosis Signaling	6.7E-01	2E-02	NaN	MCL1	
Assembly of RNA Polymerase II Complex	6.7E-01	2E-02	NaN	TAF7	
FAT10 Cancer Signaling Pathway	6.7E-01	2E-02	NaN	IL6	
Axonal Guidance Signaling	6.44E-01	7.87E-03	NaN	GNA12,MYL12B,RRAS,TUBA1C	
Type I Diabetes Mellitus Signaling	6.42E-01	7.86E-03	NaN	HLA-A,HLA-DMB,IRF1,SOCS3	
Role of Cytokines in Mediating Communication between Immune Cells	6.4E-01	1.85E-02	NaN	IL6	
Hepatic Cholestasis	6.33E-01	1.05E-02	NaN	IL6,JUN	
CSDE1 Signaling Pathway	6.27E-01	1.79E-02	NaN	FOS	
Cell Cycle Control of Chromosomal Replication	6.27E-01	1.79E-02	NaN	CDK2	
Oxidative Ethanol Degradation III	6.27E-01	1.79E-02	NaN	CYP2B6	
Xenobiotic Metabolism PXR Signaling Pathway	6.27E-01	1.04E-02	NaN	CDK2,CYP2B6	
CNTF Signaling	6.2E-01	1.75E-02	NaN	RRAS	
Triacylglycerol Degradation	6.2E-01	1.75E-02	NaN	PRDX6	
Regulation of the Epithelial-Mesenchymal Transition Pathway	6.2E-01	1.03E-02	NaN	EGR1,RRAS	
Nicotine Degradation III	6.14E-01	1.72E-02	NaN	CYP2B6	
Cancer Drug Resistance By Drug Efflux	6.14E-01	1.72E-02	NaN	RRAS	
Pulmonary Healing Signaling Pathway	6.07E-01	1.01E-02	NaN	HBEGF,RRAS	
Endometrial Cancer Signaling	6E-01	1.67E-02	NaN	RRAS	
Retinoic acid Mediated Apoptosis Signaling	6E-01	1.67E-02	NaN	IRF1	
Ephrin Receptor Signaling	5.95E-01	9.85E-03	NaN	GNA12,RRAS	
Semaphorin Signaling in Neurons	5.88E-01	1.61E-02	NaN	RHOB	
Melatonin Degradation I	5.88E-01	1.61E-02	NaN	CYP2B6	
Pyridoxal 5'-phosphate Salvage Pathway	5.65E-01	1.52E-02	NaN	CDK2	
Nicotine Degradation II	5.65E-01	1.52E-02	NaN	CYP2B6	
Glutamate Receptor Signaling	5.65E-01	1.52E-02	NaN	GLUL	
Agranulocyte Adhesion and Diapedesis	5.62E-01	9.35E-03	NaN	ACTB,ACTG1	
IL-17A Signaling in Airway Cells	5.61E-01	1.49E-02	NaN	IL6	
Phospholipases	5.61E-01	1.49E-02	NaN	PRDX6	
Superpathway of Melatonin Degradation	5.61E-01	1.49E-02	NaN	CYP2B6	
ERBB4 Signaling	5.54E-01	1.47E-02	NaN	RRAS	
Cell Cycle: G1/S Checkpoint Regulation	5.54E-01	1.47E-02	NaN	CDK2	
Eicosanoid Signaling	5.54E-01	1.47E-02	NaN	PRDX6	
Ephrin B Signaling	5.33E-01	1.39E-02	NaN	GNA12	
Leptin Signaling in Obesity	5.14E-01	1.32E-02	NaN	SOCS3	
Hypoxia Signaling in the Cardiovascular System	5.14E-01	1.32E-02	NaN	JUN	
Macropinocytosis Signaling	5.14E-01	1.32E-02	NaN	RRAS	
TREM1 Signaling	5.09E-01	1.3E-02	NaN	IL6	
Angiopoietin Signaling	5.09E-01	1.3E-02	NaN	RRAS	
Antiproliferative Role of Somatostatin Receptor 2	5.09E-01	1.3E-02	NaN	RRAS	
cAMP-mediated signaling	5.07E-01	8.51E-03	NaN	DUSP1,DUSP6	
Protein Kinase A Signaling	5.06E-01	7.33E-03	NaN	DUSP1,DUSP6,MYL12B	
NF-κB Activation by Viruses	5.04E-01	1.28E-02	NaN	RRAS	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	5.04E-01	1.28E-02	NaN	SIAH1	
Dendritic Cell Maturation	5E-01	6.76E-03	-2.000	B2M,HLA-A,HLA-DMB,IL6	
Heparan Sulfate Biosynthesis (Late Stages)	5E-01	1.27E-02	NaN	PRDX6	
Role of BRCA1 in DNA Damage Response	4.96E-01	1.25E-02	NaN	ACTB	
FLT3 Signaling in Hematopoietic Progenitor Cells	4.87E-01	1.22E-02	NaN	RRAS	
FcγRIIB Signaling in B Lymphocytes	4.74E-01	1.18E-02	NaN	RRAS	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	4.7E-01	1.16E-02	NaN	IL6	
Heparan Sulfate Biosynthesis	4.7E-01	1.16E-02	NaN	PRDX6	
Xenobiotic Metabolism AHR Signaling Pathway	4.66E-01	1.15E-02	NaN	IL6	
Sperm Motility	4.61E-01	7.84E-03	NaN	GNA12,PRDX6	
Acute Myeloid Leukemia Signaling	4.5E-01	1.1E-02	NaN	RRAS	
Apelin Adipocyte Signaling Pathway	4.5E-01	1.1E-02	NaN	PRDX6	
B Cell Receptor Signaling	4.46E-01	6.34E-03	-2.000	EGR1,JUN,MALT1,RRAS	
Graft-versus-Host Disease Signaling	4.42E-01	6.73E-03	NaN	HLA-A,HLA-DMB,IL6	
Non-Small Cell Lung Cancer Signaling	4.39E-01	1.06E-02	NaN	RRAS	
Small Cell Lung Cancer Signaling	4.32E-01	1.04E-02	NaN	CDK2	
Melanocyte Development and Pigmentation Signaling	4.25E-01	1.02E-02	NaN	RRAS	
Salvage Pathways of Pyrimidine Ribonucleotides	4.25E-01	1.02E-02	NaN	CDK2	
Calcium-induced T Lymphocyte Apoptosis	4.21E-01	6.52E-03	NaN	HLA-A,HLA-DMB,NR4A1	
Apelin Cardiomyocyte Signaling Pathway	4.21E-01	1.01E-02	NaN	MYL12B	
Neuropathic Pain Signaling In Dorsal Horn Neurons	4.15E-01	9.9E-03	NaN	FOS	
T Helper Cell Differentiation	4.06E-01	6.37E-03	NaN	HLA-A,HLA-DMB,IL6	
Mouse Embryonic Stem Cell Pluripotency	4.05E-01	9.62E-03	NaN	RRAS	
Chronic Myeloid Leukemia Signaling	3.95E-01	9.35E-03	NaN	RRAS	
Kinetochore Metaphase Signaling Pathway	3.83E-01	9.01E-03	NaN	PPP2R5A	
Antioxidant Action of Vitamin C	3.8E-01	8.93E-03	NaN	PRDX6	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	3.77E-01	6.1E-03	NaN	HLA-A,HLA-DMB,IL6	
Phagosome Formation	3.74E-01	5.79E-03	-2.000	MALT1,MYL12B,PRDX6,RRAS	
Amyotrophic Lateral Sclerosis Signaling	3.72E-01	8.7E-03	NaN	GLUL	
Bladder Cancer Signaling	3.69E-01	8.62E-03	NaN	RRAS	
CCR5 Signaling in Macrophages	3.68E-01	6.01E-03	NaN	FOS,GNA12,JUN	
Fc Epsilon RI Signaling	3.64E-01	8.47E-03	NaN	RRAS	
Airway Pathology in Chronic Obstructive Pulmonary Disease	3.64E-01	8.47E-03	NaN	IL6	
SAPK/JNK Signaling	3.64E-01	5.98E-03	NaN	GNA12,JUN,RRAS	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	3.58E-01	8.33E-03	NaN	RRAS	
Neuroprotective Role of THOP1 in Alzheimer's Disease	3.58E-01	8.33E-03	NaN	HLA-A	
NGF Signaling	3.58E-01	8.33E-03	NaN	RRAS	
p38 MAPK Signaling	3.58E-01	8.33E-03	NaN	DUSP1	
Glioma Signaling	3.47E-01	8.06E-03	NaN	RRAS	
Synaptogenesis Signaling Pathway	3.47E-01	6.31E-03	NaN	HSPA8,RRAS	
Gαs Signaling	3.45E-01	8E-03	NaN	GNA12	
FXR/RXR Activation	3.42E-01	7.94E-03	NaN	SERPINF1	
GP6 Signaling Pathway	3.39E-01	7.87E-03	NaN	COL12A1	
Endocannabinoid Developing Neuron Pathway	3.39E-01	7.87E-03	NaN	RRAS	
Synaptic Long Term Potentiation	3.3E-01	7.63E-03	NaN	RRAS	
SNARE Signaling Pathway	3.18E-01	7.35E-03	NaN	HSPA8	
White Adipose Tissue Browning Pathway	3.13E-01	7.25E-03	NaN	CEBPB	
PTEN Signaling	2.88E-01	6.67E-03	NaN	RRAS	
NAD Signaling Pathway	2.87E-01	6.62E-03	NaN	CEBPB	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2.77E-01	6.41E-03	NaN	IL6	
Ovarian Cancer Signaling	2.73E-01	6.33E-03	NaN	RRAS	
eNOS Signaling	2.72E-01	6.29E-03	NaN	HSPA8	
HOTAIR Regulatory Pathway	2.64E-01	6.13E-03	NaN	IRF1	
Neurovascular Coupling Signaling Pathway	-0E00	4.44E-03	NaN	PRDX6	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	4.71E-03	NaN	B2M,HLA-A	
IL-15 Signaling	-0E00	1.89E-03	NaN	RRAS	
ICOS-ICOSL Signaling in T Helper Cells	-0E00	3.94E-03	NaN	HLA-A,HLA-DMB	
Lipid Antigen Presentation by CD1	-0E00	2.4E-03	NaN	B2M	
CREB Signaling in Neurons	-0E00	3.3E-03	NaN	GNA12,RRAS	
Autoimmune Thyroid Disease Signaling	-0E00	4.41E-03	NaN	HLA-A,HLA-DMB	
Communication between Innate and Adaptive Immune Cells	-0E00	3.23E-03	NaN	B2M,HLA-A,IL6	
FAK Signaling	-0E00	3.84E-03	-1.000	FOS,JUN,RRAS,SOCS3	
Phospholipase C Signaling	-0E00	4.42E-03	NaN	MYL12B,RHOB,RRAS	
Antiproliferative Role of TOB in T Cell Signaling	-0E00	2.35E-03	NaN	CDK2	
Hematopoiesis from Pluripotent Stem Cells	-0E00	2.26E-03	NaN	IL6	
NF-κB Signaling	-0E00	3.51E-03	NaN	MALT1,RRAS	
Th17 Activation Pathway	-0E00	4.13E-03	NaN	IL6,SOCS3	
Calcium Signaling	-0E00	4.59E-03	NaN	RCAN1	
